id	rate
01001	416
01003	308
01005	632
01007	367
01009	159
01011	993
01013	773
01015	680
01017	901
01019	223
01021	338
01023	433
01025	763
01027	521
01029	324
01031	597
01033	549
01035	578
01037	447
01039	400
01041	575
01043	295
01045	597
01047	1208
01049	246
01051	487
01053	487
01055	695
01057	371
01059	318
01061	460
01063	1296
01065	1261
01067	607
01069	697
01071	243
01073	802
01075	330
01077	383
01079	296
01081	519
01083	249
01085	1188
01087	1222
01089	534
01091	647
01093	221
01095	253
01097	792
01099	544
01101	1320
01103	420
01105	1130
01107	654
01109	1004
01111	472
01113	797
01115	258
01117	198
01119	1355
01121	663
01123	564
01125	785
01127	485
01129	491
01131	1443
01133	224
02013	538
02016	216
02020	865
02050	2091
02060	
02068	267
02070	1410
02090	648
02100	274
02110	645
02122	316
02130	639
02150	323
02164	967
02170	549
02180	2431
02185	1804
02188	2394
02201	
02220	133
02232	
02240	182
02261	381
02270	2407
02280	
02282	
02290	1213
04001	822
04003	331
04005	661
04007	497
04009	353
04011	295
04012	301
04013	480
04015	259
04017	865
04019	523
04021	316
04023	279
04025	160
04027	431
05001	593
05003	915
05005	231
05007	241
05009	281
05011	404
05013	226
05015	225
05017	1032
05019	737
05021	370
05023	205
05025	290
05027	1034
05029	427
05031	646
05033	205
05035	1267
05037	582
05039	689
05041	853
05043	726
05045	471
05047	382
05049	179
05051	449
05053	206
05055	317
05057	715
05059	407
05061	721
05063	348
05065	245
05067	477
05069	1022
05071	378
05073	698
05075	370
05077	695
05079	284
05081	751
05083	432
05085	347
05087	224
05089	217
05091	914
05093	1084
05095	984
05097	193
05099	560
05101	124
05103	945
05105	251
05107	1265
05109	329
05111	420
05113	239
05115	378
05117	296
05119	771
05121	279
05123	686
05125	244
05127	381
05129	162
05131	393
05133	431
05135	258
05137	205
05139	807
05141	188
05143	534
05145	484
05147	465
05149	219
06001	417
06003	
06005	200
06007	419
06009	161
06011	107
06013	412
06015	64
06017	170
06019	674
06021	250
06023	288
06025	334
06027	427
06029	760
06031	357
06033	244
06035	238
06037	510
06039	418
06041	182
06043	162
06045	383
06047	409
06049	150
06051	167
06053	353
06055	214
06057	183
06059	279
06061	223
06063	263
06065	390
06067	549
06069	352
06071	527
06073	463
06075	619
06077	486
06079	357
06081	237
06083	436
06085	355
06087	373
06089	325
06091	
06093	170
06095	463
06097	295
06099	313
06101	300
06103	303
06105	81
06107	524
06109	156
06111	300
06113	340
06115	304
08001	431
08003	396
08005	491
08007	149
08009	
08011	312
08013	248
08014	285
08015	121
08017	213
08019	100
08021	218
08023	362
08025	168
08027	
08029	243
08031	848
08033	
08035	169
08037	214
08039	120
08041	403
08043	205
08045	298
08047	146
08049	92
08051	213
08053	
08055	303
08057	
08059	205
08061	
08063	334
08065	232
08067	290
08069	293
08071	254
08073	183
08075	296
08077	375
08079	
08081	295
08083	488
08085	238
08087	369
08089	294
08091	
08093	75
08095	114
08097	151
08099	266
08101	461
08103	160
08105	435
08107	201
08109	79
08111	
08113	145
08115	
08117	349
08119	154
08121	
08123	351
08125	198
09001	295
09003	419
09005	174
09007	185
09009	440
09011	282
09013	162
09015	269
10001	699
10003	556
10005	495
11001	1014
12001	722
12003	314
12005	369
12007	421
12009	321
12011	443
12013	448
12015	166
12017	271
12019	355
12021	241
12023	410
12027	349
12029	391
12031	650
12033	559
12035	242
12037	411
12039	735
12041	315
12043	298
12045	318
12047	789
12049	353
12051	553
12053	213
12055	280
12057	561
12059	328
12061	359
12063	486
12065	400
12067	204
12069	299
12071	334
12073	879
12075	450
12077	387
12079	476
12081	412
12083	400
12085	175
12086	397
12087	202
12089	243
12091	483
12093	418
12095	566
12097	388
12099	331
12101	242
12103	443
12105	445
12107	424
12109	229
12111	339
12113	254
12115	254
12117	326
12119	229
12121	399
12123	387
12125	467
12127	294
12129	260
12131	276
12133	337
13001	381
13003	290
13005	295
13007	178
13009	429
13011	115
13013	164
13015	317
13017	718
13019	257
13021	709
13023	488
13025	307
13027	448
13029	273
13031	516
13033	670
13035	170
13037	461
13039	399
13043	207
13045	222
13047	109
13049	444
13051	616
13053	176
13055	260
13057	138
13059	610
13061	289
13063	491
13065	566
13067	273
13069	313
13071	286
13073	156
13075	396
13077	138
13079	190
13081	525
13083	67
13085	125
13087	600
13089	406
13091	253
13093	454
13095	757
13097	343
13099	783
13101	
13103	221
13105	279
13107	721
13109	543
13111	81
13113	113
13115	362
13117	35
13119	224
13121	452
13123	99
13125	509
13127	504
13129	265
13131	256
13133	348
13135	219
13137	147
13139	171
13141	634
13143	148
13145	114
13147	196
13149	112
13151	242
13153	464
13155	313
13157	142
13159	264
13161	304
13163	986
13165	532
13167	586
13169	136
13171	421
13173	231
13175	479
13177	212
13179	718
13181	310
13183	224
13185	657
13187	98
13189	780
13191	267
13193	245
13195	272
13197	207
13199	235
13201	268
13205	523
13207	259
13209	393
13211	229
13213	244
13215	492
13217	453
13219	193
13221	171
13223	158
13225	757
13227	103
13229	356
13231	112
13233	255
13235	410
13237	420
13239	166
13241	129
13243	519
13245	724
13247	320
13249	200
13251	359
13253	246
13255	312
13257	205
13259	480
13261	761
13263	537
13265	595
13267	256
13269	546
13271	336
13273	531
13275	552
13277	633
13279	359
13281	210
13283	502
13285	387
13287	595
13289	237
13291	98
13293	507
13295	120
13297	235
13299	684
13301	717
13303	651
13305	363
13307	394
13309	190
13311	112
13313	303
13315	342
13317	377
13319	595
13321	207
15001	406
15003	531
15005	
15007	235
15009	331
16001	393
16003	179
16005	381
16007	119
16009	307
16011	224
16013	293
16015	205
16017	225
16019	216
16021	185
16023	
16025	371
16027	492
16029	133
16031	228
16033	
16035	291
16037	
16039	622
16041	109
16043	116
16045	210
16047	314
16049	67
16051	94
16053	444
16055	407
16057	359
16059	155
16061	180
16063	284
16065	35
16067	250
16069	478
16071	166
16073	184
16075	239
16077	244
16079	354
16081	40
16083	360
16085	157
16087	327
17001	377
17003	942
17005	289
17007	291
17009	333
17011	175
17013	179
17015	173
17017	315
17019	692
17021	217
17023	247
17025	262
17027	205
17029	680
17031	661
17033	163
17035	255
17037	477
17039	195
17041	262
17043	203
17045	225
17047	150
17049	189
17051	168
17053	178
17055	292
17057	243
17059	166
17061	280
17063	157
17065	143
17067	222
17069	305
17071	170
17073	303
17075	185
17077	1154
17079	156
17081	444
17083	171
17085	191
17087	266
17089	298
17091	552
17093	189
17095	356
17097	377
17099	248
17101	247
17103	291
17105	261
17107	476
17109	492
17111	191
17113	540
17115	817
17117	277
17119	411
17121	530
17123	235
17125	314
17127	197
17129	291
17131	284
17133	174
17135	277
17137	397
17139	188
17141	257
17143	752
17145	236
17147	212
17149	184
17151	679
17153	417
17155	119
17157	258
17159	321
17161	439
17163	755
17165	441
17167	644
17169	94
17171	170
17173	279
17175	353
17177	524
17179	286
17181	272
17183	633
17185	256
17187	310
17189	171
17191	145
17193	199
17195	354
17197	301
17199	312
17201	632
17203	213
18001	201
18003	536
18005	259
18007	307
18009	272
18011	205
18013	139
18015	184
18017	316
18019	322
18021	272
18023	260
18025	197
18027	312
18029	203
18031	123
18033	163
18035	521
18037	176
18039	440
18041	158
18043	353
18045	234
18047	96
18049	149
18051	293
18053	477
18055	282
18057	178
18059	244
18061	230
18063	232
18065	245
18067	284
18069	246
18071	357
18073	197
18075	318
18077	335
18079	281
18081	321
18083	386
18085	209
18087	75
18089	499
18091	359
18093	332
18095	370
18097	1010
18099	121
18101	136
18103	233
18105	469
18107	272
18109	268
18111	135
18113	206
18115	197
18117	254
18119	210
18121	732
18123	185
18125	188
18127	226
18129	184
18131	114
18133	318
18135	279
18137	325
18139	287
18141	328
18143	240
18145	286
18147	163
18149	168
18151	149
18153	212
18155	201
18157	471
18159	134
18161	109
18163	508
18165	168
18167	418
18169	188
18171	228
18173	149
18175	183
18177	399
18179	257
18181	233
18183	246
19001	107
19003	179
19005	49
19007	220
19009	338
19011	240
19013	665
19015	263
19017	290
19019	210
19021	243
19023	267
19025	293
19027	257
19029	233
19031	228
19033	160
19035	243
19037	122
19039	363
19041	223
19043	118
19045	351
19047	318
19049	161
19051	196
19053	170
19055	319
19057	461
19059	136
19061	390
19063	287
19065	101
19067	143
19069	256
19071	126
19073	208
19075	185
19077	139
19079	300
19081	45
19083	254
19085	282
19087	267
19089	94
19091	206
19093	127
19095	278
19097	208
19099	284
19101	190
19103	471
19105	262
19107	154
19109	176
19111	351
19113	439
19115	195
19117	183
19119	136
19121	179
19123	303
19125	135
19127	480
19129	148
19131	37
19133	153
19135	372
19137	189
19139	340
19141	148
19143	
19145	299
19147	173
19149	173
19151	168
19153	450
19155	424
19157	278
19159	78
19161	79
19163	555
19165	166
19167	108
19169	337
19171	359
19173	161
19175	302
19177	188
19179	735
19181	252
19183	233
19185	110
19187	529
19189	75
19191	119
19193	517
19195	53
19197	208
20001	143
20003	152
20005	232
20007	247
20009	370
20011	222
20013	182
20015	214
20017	
20019	196
20021	254
20023	
20025	
20027	188
20029	202
20031	165
20033	
20035	295
20037	396
20039	
20041	228
20043	305
20045	520
20047	168
20049	257
20051	499
20053	216
20055	610
20057	285
20059	371
20061	634
20063	
20065	
20067	265
20069	83
20071	
20073	62
20075	189
20077	220
20079	273
20081	188
20083	
20085	275
20087	179
20089	
20091	258
20093	403
20095	165
20097	
20099	348
20101	
20103	319
20105	189
20107	222
20109	
20111	433
20113	211
20115	130
20117	120
20119	
20121	178
20123	142
20125	429
20127	239
20129	252
20131	79
20133	232
20135	130
20137	89
20139	204
20141	105
20143	82
20145	202
20147	
20149	193
20151	298
20153	
20155	317
20157	82
20159	190
20161	485
20163	191
20165	124
20167	202
20169	429
20171	203
20173	566
20175	420
20177	514
20179	
20181	164
20183	
20185	252
20187	
20189	104
20191	296
20193	403
20195	134
20197	85
20199	
20201	122
20203	266
20205	220
20207	
20209	704
21001	225
21003	307
21005	377
21007	384
21009	289
21011	178
21013	234
21015	273
21017	275
21019	246
21021	614
21023	188
21025	132
21027	259
21029	241
21031	156
21033	433
21035	449
21037	365
21039	159
21041	257
21043	157
21045	255
21047	618
21049	461
21051	172
21053	97
21055	226
21057	308
21059	406
21061	273
21063	64
21065	179
21067	534
21069	185
21071	193
21073	484
21075	812
21077	200
21079	284
21081	363
21083	373
21085	312
21087	283
21089	90
21091	173
21093	491
21095	140
21097	295
21099	310
21101	299
21103	235
21105	189
21107	345
21109	113
21111	658
21113	274
21115	115
21117	386
21119	87
21121	369
21123	205
21125	251
21127	107
21129	78
21131	
21133	134
21135	123
21137	388
21139	202
21141	270
21143	120
21145	581
21147	232
21149	252
21151	402
21153	107
21155	468
21157	278
21159	63
21161	325
21163	127
21165	193
21167	390
21169	140
21171	213
21173	264
21175	51
21177	362
21179	562
21181	257
21183	170
21185	177
21187	158
21189	
21191	178
21193	209
21195	231
21197	136
21199	226
21201	
21203	94
21205	418
21207	263
21209	326
21211	507
21213	336
21215	281
21217	332
21219	237
21221	374
21223	193
21225	916
21227	435
21229	431
21231	202
21233	375
21235	301
21237	126
21239	247
22001	434
22003	290
22005	352
22007	408
22009	536
22011	334
22013	838
22015	548
22017	986
22019	511
22021	370
22023	104
22025	428
22027	814
22029	412
22031	764
22033	609
22035	943
22037	430
22039	481
22041	564
22043	304
22045	780
22047	524
22049	389
22051	582
22053	455
22055	520
22057	432
22059	275
22061	807
22063	272
22065	1053
22067	922
22069	1080
22071	1101
22073	1030
22075	368
22077	444
22079	580
22081	935
22083	918
22085	403
22087	521
22089	427
22091	406
22093	534
22095	623
22097	708
22099	578
22101	672
22103	259
22105	645
22107	363
22109	679
22111	442
22113	380
22115	743
22117	521
22119	735
22121	444
22123	382
22125	286
22127	387
23001	467
23003	161
23005	279
23007	271
23009	172
23011	244
23013	169
23015	161
23017	221
23019	293
23021	150
23023	222
23025	249
23027	198
23029	228
23031	237
24001	326
24003	278
24005	364
24009	339
24011	324
24013	157
24015	229
24017	501
24019	657
24021	226
24023	198
24025	174
24027	230
24029	282
24031	238
24033	699
24035	191
24037	268
24039	579
24041	328
24043	314
24045	645
24047	432
24510	1250
25001	214
25003	320
25005	276
25007	141
25009	382
25011	257
25013	576
25015	222
25017	239
25019	408
25021	210
25023	298
25025	777
25027	278
26001	85
26003	73
26005	282
26007	154
26009	162
26011	97
26013	150
26015	237
26017	287
26019	155
26021	514
26023	198
26025	563
26027	184
26029	181
26031	155
26033	349
26035	143
26037	220
26039	200
26041	168
26043	183
26045	289
26047	173
26049	592
26051	126
26053	106
26055	278
26057	207
26059	145
26061	123
26063	142
26065	659
26067	203
26069	126
26071	52
26073	378
26075	386
26077	726
26079	187
26081	607
26083	406
26085	148
26087	177
26089	153
26091	206
26093	140
26095	169
26097	233
26099	293
26101	81
26103	321
26105	213
26107	275
26109	130
26111	192
26113	160
26115	232
26117	271
26119	169
26121	704
26123	246
26125	287
26127	247
26129	131
26131	
26133	180
26135	70
26137	171
26139	273
26141	160
26143	195
26145	595
26147	279
26149	265
26151	159
26153	108
26155	214
26157	218
26159	318
26161	392
26163	877
26165	144
27001	107
27003	263
27005	224
27007	463
27009	260
27011	
27013	466
27015	87
27017	289
27019	139
27021	296
27023	107
27025	163
27027	294
27029	230
27031	135
27033	103
27035	218
27037	248
27039	272
27041	126
27043	175
27045	182
27047	364
27049	294
27051	168
27053	487
27055	127
27057	108
27059	165
27061	221
27063	195
27065	156
27067	321
27069	178
27071	159
27073	70
27075	148
27077	201
27079	170
27081	103
27083	200
27085	166
27087	271
27089	127
27091	244
27093	121
27095	272
27097	209
27099	356
27101	58
27103	155
27105	233
27107	181
27109	341
27111	136
27113	213
27115	253
27117	118
27119	185
27121	147
27123	536
27125	465
27127	158
27129	156
27131	200
27133	167
27135	239
27137	364
27139	199
27141	238
27143	106
27145	296
27147	259
27149	52
27151	52
27153	147
27155	
27157	182
27159	138
27161	307
27163	187
27165	268
27167	106
27169	358
27171	155
27173	89
28001	725
28003	293
28005	316
28007	632
28009	298
28011	905
28013	465
28015	624
28017	769
28019	359
28021	877
28023	562
28025	539
28027	1377
28029	632
28031	541
28033	374
28035	841
28037	543
28039	297
28041	293
28043	535
28045	263
28047	544
28049	961
28051	1708
28053	1164
28055	577
28057	360
28059	398
28061	678
28063	1034
28065	781
28067	420
28069	445
28071	582
28073	130
28075	718
28077	558
28079	682
28081	610
28083	1431
28085	473
28087	622
28089	404
28091	405
28093	721
28095	574
28097	528
28099	574
28101	750
28103	891
28105	701
28107	809
28109	210
28111	339
28113	536
28115	232
28117	244
28119	898
28121	240
28123	800
28125	1063
28127	354
28129	355
28131	449
28133	985
28135	1059
28137	593
28139	291
28141	296
28143	1432
28145	274
28147	318
28149	580
28151	1198
28153	469
28155	279
28157	530
28159	462
28161	693
28163	653
29001	383
29003	167
29005	73
29007	515
29009	166
29011	227
29013	156
29015	137
29017	113
29019	612
29021	490
29023	497
29025	230
29027	361
29029	208
29031	482
29033	143
29035	192
29037	293
29039	167
29041	183
29043	248
29045	201
29047	331
29049	268
29051	555
29053	354
29055	217
29057	238
29059	196
29061	134
29063	85
29065	96
29067	103
29069	342
29071	285
29073	187
29075	148
29077	453
29079	251
29081	206
29083	248
29085	106
29087	86
29089	393
29091	300
29093	87
29095	750
29097	414
29099	216
29101	649
29103	
29105	217
29107	221
29109	205
29111	265
29113	251
29115	160
29117	406
29119	293
29121	193
29123	185
29125	122
29127	417
29129	
29131	286
29133	363
29135	237
29137	264
29139	125
29141	174
29143	400
29145	288
29147	410
29149	136
29151	108
29153	62
29155	668
29157	237
29159	480
29161	265
29163	329
29165	290
29167	251
29169	605
29171	183
29173	253
29175	383
29177	221
29179	135
29181	135
29183	263
29185	211
29186	203
29187	319
29189	521
29195	244
29197	275
29199	82
29201	399
29203	60
29205	96
29207	252
29209	124
29211	153
29213	268
29215	105
29217	328
29219	253
29221	211
29223	134
29225	179
29227	241
29229	150
29510	1297
30001	471
30003	1279
30005	703
30007	122
30009	128
30011	
30013	536
30015	
30017	421
30019	
30021	303
30023	314
30025	198
30027	96
30029	280
30031	353
30033	
30035	1196
30037	
30039	161
30041	868
30043	114
30045	
30047	490
30049	254
30051	
30053	190
30055	
30057	181
30059	
30061	168
30063	349
30065	150
30067	122
30069	
30071	145
30073	
30075	284
30077	169
30079	
30081	143
30083	592
30085	1583
30087	1490
30089	123
30091	140
30093	308
30095	65
30097	
30099	132
30101	134
30103	
30105	187
30107	
30109	378
30111	427
31001	296
31003	
31005	
31007	
31009	
31011	
31013	168
31015	
31017	
31019	432
31021	105
31023	108
31025	147
31027	80
31029	98
31031	175
31033	50
31035	78
31037	178
31039	88
31041	
31043	311
31045	535
31047	252
31049	
31051	203
31053	343
31055	604
31057	
31059	295
31061	
31063	
31065	224
31067	225
31069	
31071	
31073	
31075	
31077	
31079	375
31081	78
31083	117
31085	
31087	
31089	77
31091	
31093	63
31095	
31097	117
31099	108
31101	
31103	
31105	185
31107	128
31109	460
31111	396
31113	
31115	
31117	
31119	317
31121	129
31123	
31125	
31127	252
31129	
31131	216
31133	145
31135	
31137	163
31139	84
31141	242
31143	
31145	219
31147	133
31149	
31151	144
